id,dirreccion,barrio,comuna,geometry
111,Zamudio 5900,Villa Pueyrredon,Comuna 12,POINT (-58.50506859507818 -34.573352921040986)
112,"Bosch, Ventura 7227",Liniers,Comuna 9,POINT (-58.52782590925673 -34.64289020679034)
113,Rivadavia Av. 10294,Villa Luro,Comuna 10,POINT (-58.50852630144305 -34.63895593381839)
114,Bulnes 2000,Palermo,Comuna 14,POINT (-58.41165571371031 -34.58811795565897)
115,Estado De Israel Av. 4190,Almagro,Comuna 5,POINT (-58.42465140158607 -34.59793110204727)
116,De Los Incas Av. 4400,Villa Ortuzar,Comuna 15,POINT (-58.473541122694776 -34.58091745410136)
117,Pueyrredon Av. 1600,Recoleta,Comuna 2,POINT (-58.401626686983114 -34.59259203566483)
118,Cordoba Av. 2386,Balvanera,Comuna 3,POINT (-58.40084667967117 -34.599592224017485)
119,"Figueroa Alcorta, Pres. Av. 2500",Recoleta,Comuna 2,POINT (-58.39134838930751 -34.58395711588195)
120,Del Campo Av. 1600,Paternal,Comuna 15,POINT (-58.47016342461421 -34.5880950448062)
121,Aguero 608,Balvanera,Comuna 3,POINT (-58.41146276090965 -34.602757089847216)
122,Constitucion 1077,Constitucion,Comuna 1,POINT (-58.38114218435211 -34.62458460922173)
123,Brandsen 2500,Barracas,Comuna 4,POINT (-58.38381617318953 -34.63896916972634)
124,Paseo Colon Av. 900,San Telmo,Comuna 1,POINT (-58.36867035764147 -34.61822040487247)
125,Necochea 200,La Boca,Comuna 4,POINT (-58.365732082233116 -34.62723282889668)
126,Pueyrredon Av. 2502,Recoleta,Comuna 2,POINT (-58.3928960775791 -34.58525717869738)
127,Callao Av. 1000,Recoleta,Comuna 2,POINT (-58.39329103957965 -34.59732684912391)
128,Bolivar 1075,San Telmo,Comuna 1,POINT (-58.372925925875236 -34.6203972054461)
129,Riobamba 1104,Recoleta,Comuna 2,POINT (-58.39472608666455 -34.59567278005889)
130,Rivadavia Av. 11600,Liniers,Comuna 9,POINT (-58.52752249472757 -34.63933716755719)
131,"Alvarez Thomas Av. y Dumont, Santos",Colegiales,Comuna 13,POINT (-58.44709586186076 -34.58203174326251)
132,Pueyrredon Av. 2200,Recoleta,Comuna 2,POINT (-58.39737487702429 -34.58742237412604)
133,Don Pedro De Mendoza Av. 1900,La Boca,Comuna 4,POINT (-58.36181049034309 -34.639379096509074)
134,Godoy Cruz 1267,Villa Crespo,Comuna 15,POINT (-58.43841250196923 -34.590608569647834)
135,Humboldt 1300,Chacarita,Comuna 15,POINT (-58.43951649946694 -34.58813254607832)
136,"Ramos Mejia, Jose Maria, Dr. Av. 1360",Retiro,Comuna 1,POINT (-58.37452648707857 -34.591743166819775)
137,Varela Av. 1371,Flores,Comuna 7,POINT (-58.4535343050558 -34.64415780990456)
138,"Alcorta, Amancio Av. 1490",Barracas,Comuna 4,POINT (-58.38455354886483 -34.63449256079811)
139,"Ramos Mejia, Jose Maria, Dr. Av. 1430",Retiro,Comuna 1,POINT (-58.37390397673204 -34.59082003171764)
140,Jaramillo 2300,Nuñez,Comuna 13,POINT (-58.4675685087957 -34.54751280349117)
141,La Rioja 900,San Cristobal,Comuna 3,POINT (-58.40755552375781 -34.62073978608749)
